序号,开始时间,结束时间,查询粒度,子网,子网名称,网元,网元名称,小区,小区名称,eNodeB,eNodeB名称,[LTE]小区无线接通率,[LTE]无线接通率,[LTE]无线接通率_1516610800155-0-0,[LTE]无线掉线率-,[FDD]RRC连接建立成功率,[FDD]E-RAB建立成功率,[FDD]RRC连接掉话率,E-RAB掉线率-FDD_1498916186273-0-9,[FDD]E-RAB阻塞率,[FDD]小区的可用率,[LTE]下行数据重传率,上行PRB平均利用率(集团),下行PRB平均利用率(集团),上行PRB利用率-扩容,下行PRB利用率-扩容,[LTE]上行PRB平均利用率(%),[LTE]下行PRB平均利用率(%),PDCCH信道CCE占用率-FDD_1498916186273-0-62,用户面最大激活UE数,用户面平均激活UE数,RRC连接建立最大用户数,RRC连接建立平均用户数,[FDD]最大的RRC连接建立个数,[FDD]平均的RRC连接建立个数,[FDD]小区上行PDCP层最大流量(兆比特/秒),[FDD]小区上行PDCP层最小流量(兆比特/秒),[FDD]小区上行PDCP层平均流量(兆比特/秒),[FDD]小区下行PDCP层最大流量(兆比特/秒),[FDD]小区下行PDCP层最小流量(兆比特/秒),[FDD]小区下行PDCP层平均流量(兆比特/秒),空口上行业务字节数(ZXJT)单位:GB ,空口下行业务字节数(ZXJT)单位:GB,小区上行BLER,小区下行BLER,RB平均干扰均值（0-24）,RB平均干扰均值(0-29),RB平均干扰均值（0-99）_1516610800155-0-16,"TA在范围[0,1)的上报次数","TA在范围[1,3)的上报次数","TA在范围[3,5)的上报次数","TA在范围[5,7)的上报次数","TA在范围[7,9)的上报次数","TA在范围[9,11)的上报次数","TA在范围[11,13)的上报次数","TA在范围[13,20)的上报次数","TA在范围[20,27)的上报次数","TA在范围[27,34)的上报次数","TA在范围[34,40)的上报次数",小区下行PDCP SDU时延(毫秒),小区上行PDCP SDU丢包个数,小区下行PDCP SDU丢包个数,小区上行PDCP 总的SDU个数,小区下行PDCP 总的SDU个数,[LTE]RLC PDU重传率
11,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721502,CGZ017324H_平阴移动_裕腾药业_玛钢体育馆-平阴移动(721502),82,FGZ0173242H1_平阴移动,721502,CGZ017324H_平阴移动_裕腾药业-平阴移动,98.00%,98.00%,98.00%,0.00%,98.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.64%,0.81%,5.40%,0.81%,5.40%,0,5.40%,9.58%,4,0.2567,9,2.2728,9,2,1.4514,0,0.0088,25.8838,0,0.1521,0,0.07,0.00%,0.00%,-119.96,-119,-119,,,,,,,,,,,,2552576,0,493,34406,73637,0.00%
12,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721502,CGZ017324H_平阴移动_裕腾药业_玛钢体育馆-平阴移动(721502),83,FGZ0173243H1_平阴移动,721502,CGZ017324H_平阴移动_裕腾药业-平阴移动,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.86%,0.40%,5.67%,0.40%,5.67%,0,5.67%,10.12%,4,0.1341,6,0.7044,6,0,6.5167,0,0.0143,13.8251,0,0.1305,0.01,0.06,0.00%,0.00%,-119.98,-119,-119,,,,,,,,,,,,2690845,0,3,34534,54246,0.00%
13,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721502,CGZ017324H_平阴移动_裕腾药业_玛钢体育馆-平阴移动(721502),84,FGZ0173244R1_裕腾药业-平阴移动,721502,CGZ017324H_平阴移动_裕腾药业-平阴移动,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,5.60%,0.03%,4.15%,0.03%,4.15%,0,4.15%,9.67%,2,0.0552,3,0.2028,3,0,0.2072,0,0.0006,0.983,0,0.0019,0,0,0.00%,0.00%,-118.86,-119,-119,,,,,,,,,,,,77216,0,0,4973,6965,0.00%
14,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721502,CGZ017324H_平阴移动_裕腾药业_玛钢体育馆-平阴移动(721502),85,FGZ0173245R1_裕腾药业-平阴移动,721502,CGZ017324H_平阴移动_裕腾药业-平阴移动,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.62%,0.05%,4.13%,0.05%,4.13%,0,4.13%,9.66%,2,0.0169,3,0.1894,3,0,0.1644,0,0.0007,3.6617,0,0.0038,0,0,0.00%,0.00%,-119.59,-119,-119,,,,,,,,,,,,69919,0,0,2467,2804,0.00%
15,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721502,CGZ017324H_平阴移动_裕腾药业_玛钢体育馆-平阴移动(721502),86,FGZ0173246R1_裕腾药业-平阴移动,721502,CGZ017324H_平阴移动_裕腾药业-平阴移动,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.84%,1.40%,14.39%,1.40%,14.39%,0,14.39%,11.95%,4,0.5846,6,1.4706,6,1,1.2958,0,0.0682,7.548,0,0.4943,0.03,0.21,0.00%,0.00%,-118.65,-118,-119,,,,,,,,,,,,44311830,0,6,120569,249638,0.00%
16,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721504,CGZ017329H_平阴四中(721504),81,FGZ0173291H1_平阴四中,721504,CGZ017329H_平阴四中,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.63%,1.49%,6.79%,1.49%,6.79%,0,6.79%,7.73%,5,0.4791,11,3.4894,11,3,2.2673,0,0.0153,7.2876,0,0.2069,0.01,0.09,0.00%,0.00%,-119.91,-119,-119,,,,,,,,,,,,2163099,0,122,70308,108207,0.00%
17,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721504,CGZ017329H_平阴四中(721504),82,FGZ0173292H1_平阴四中,721504,CGZ017329H_平阴四中,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.50%,0.49%,4.70%,0.49%,4.70%,0,4.70%,7.17%,3,0.2332,6,1.4284,6,1,0.8945,0,0.0076,29.5224,0,0.2742,0,0.12,0.00%,0.00%,-119.78,-119,-119,,,,,,,,,,,,2161363,0,12,47818,106278,0.00%
18,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721504,CGZ017329H_平阴四中(721504),83,FGZ0173293H1_平阴四中,721504,CGZ017329H_平阴四中,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.40%,0.56%,3.96%,0.56%,3.96%,0,3.96%,7.72%,3,0.2048,7,1.4056,7,1,0.6978,0,0.0048,7.0942,0,0.0551,0,0.02,0.00%,0.00%,-119.45,-119,-119,,,,,,,,,,,,510393,0,0,22530,39334,0.00%
19,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721506,CGZ017346H_文萃家园(721506),81,FGZ0173461H1_文萃家园,721506,CGZ017346H_文萃家园,99.74%,99.74%,99.74%,0.52%,99.74%,100.00%,0.03%,0.00%,0.00%,100.00%,9.57%,5.68%,12.65%,5.68%,12.65%,0,12.65%,14.22%,8,1.6162,17,5.8839,17,5,2.2148,0,0.0432,13.647,0,0.641,0.02,0.28,0.00%,0.00%,-117.64,-118,-119,,,,,,,,,,,,9957582,0,30,239462,373347,0.00%
20,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721506,CGZ017346H_文萃家园(721506),82,FGZ0173462H1_文萃家园,721506,CGZ017346H_文萃家园,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.76%,3.65%,8.60%,3.65%,8.60%,0,8.60%,12.86%,5,1.126,10,3.8256,10,3,0.5499,0,0.0216,12.0458,0,0.2513,0.01,0.11,0.00%,0.00%,-118.39,-118,-119,,,,,,,,,,,,6554189,0,19,144058,195380,0.00%
