序号,开始时间,结束时间,查询粒度,子网,子网名称,网元,网元名称,小区,小区名称,eNodeB,eNodeB名称,[LTE]小区无线接通率,[LTE]无线接通率,[LTE]无线接通率_1516610800155-0-0,[LTE]无线掉线率-,[FDD]RRC连接建立成功率,[FDD]E-RAB建立成功率,[FDD]RRC连接掉话率,E-RAB掉线率-FDD_1498916186273-0-9,[FDD]E-RAB阻塞率,[FDD]小区的可用率,[LTE]下行数据重传率,上行PRB平均利用率(集团),下行PRB平均利用率(集团),上行PRB利用率-扩容,下行PRB利用率-扩容,[LTE]上行PRB平均利用率(%),[LTE]下行PRB平均利用率(%),PDCCH信道CCE占用率-FDD_1498916186273-0-62,用户面最大激活UE数,用户面平均激活UE数,RRC连接建立最大用户数,RRC连接建立平均用户数,[FDD]最大的RRC连接建立个数,[FDD]平均的RRC连接建立个数,[FDD]小区上行PDCP层最大流量(兆比特/秒),[FDD]小区上行PDCP层最小流量(兆比特/秒),[FDD]小区上行PDCP层平均流量(兆比特/秒),[FDD]小区下行PDCP层最大流量(兆比特/秒),[FDD]小区下行PDCP层最小流量(兆比特/秒),[FDD]小区下行PDCP层平均流量(兆比特/秒),空口上行业务字节数(ZXJT)单位:GB ,空口下行业务字节数(ZXJT)单位:GB,小区上行BLER,小区下行BLER,RB平均干扰均值（0-24）,RB平均干扰均值(0-29),RB平均干扰均值（0-99）_1516610800155-0-16,"TA在范围[0,1)的上报次数","TA在范围[1,3)的上报次数","TA在范围[3,5)的上报次数","TA在范围[5,7)的上报次数","TA在范围[7,9)的上报次数","TA在范围[9,11)的上报次数","TA在范围[11,13)的上报次数","TA在范围[13,20)的上报次数","TA在范围[20,27)的上报次数","TA在范围[27,34)的上报次数","TA在范围[34,40)的上报次数",小区下行PDCP SDU时延(毫秒),小区上行PDCP SDU丢包个数,小区下行PDCP SDU丢包个数,小区上行PDCP 总的SDU个数,小区下行PDCP 总的SDU个数,[LTE]RLC PDU重传率
2189,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721262,CGZ018532H_粮油公司_德润化纤-粮油公司(721262),82,FGZ0185322H1_粮油公司,721262,CGZ018532H_粮油公司_德润化纤-粮油公司,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.09%,5.08%,15.83%,5.08%,15.83%,0,15.83%,13.59%,7,1.5386,15,7.64,15,7,1.0654,0,0.0596,13.6344,0,1.009,0.03,0.44,0.00%,0.00%,-118.7,-118,-119,,,,,,,,,,,,17259023,1,0,271522,427674,0.00%
2190,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721262,CGZ018532H_粮油公司_德润化纤-粮油公司(721262),83,FGZ0185323H1_粮油公司,721262,CGZ018532H_粮油公司_德润化纤-粮油公司,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.47%,1.65%,8.17%,1.65%,8.17%,0,8.17%,10.59%,4,0.3622,7,2.3178,7,2,0.6298,0,0.0128,9.7748,0,0.2552,0.01,0.11,0.00%,0.00%,-117.9,-118,-119,,,,,,,,,,,,7307311,4,0,54552,105106,0.00%
2191,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721262,CGZ018532H_粮油公司_德润化纤-粮油公司(721262),84,FGZ0185324R1_德润化纤-粮油公司,721262,CGZ018532H_粮油公司_德润化纤-粮油公司,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,4.55%,0.00%,0.00%,100.00%,11.89%,0.02%,4.20%,0.02%,4.20%,0,4.20%,12.78%,1,0.0033,1,0.0344,1,0,0.1627,0,0.0001,0.2652,0,0.0002,0,0,0.00%,0.00%,-119.67,-119,-119,,,,,,,,,,,,4856,0,0,266,238,0.00%
2192,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721262,CGZ018532H_粮油公司_德润化纤-粮油公司(721262),85,FGZ0185325R1_德润化纤-粮油公司,721262,CGZ018532H_粮油公司_德润化纤-粮油公司,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.82%,0.21%,5.08%,0.21%,5.08%,0,5.08%,10.80%,2,0.0466,3,0.4272,3,0,0.4467,0,0.0025,23.5632,0,0.0648,0,0.03,0.00%,0.00%,-119.9,-119,-119,,,,,,,,,,,,3300270,0,66,14282,22989,0.00%
2193,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721262,CGZ018532H_粮油公司_德润化纤-粮油公司(721262),86,FGZ0185326R1_德润化纤-粮油公司,721262,CGZ018532H_粮油公司_德润化纤-粮油公司,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.49%,0.44%,4.64%,0.44%,4.64%,0,4.64%,11.19%,3,0.1034,3,0.4872,3,0,0.5536,0,0.003,3.6574,0,0.0121,0,0.01,0.00%,0.00%,-119.87,-119,-119,,,,,,,,,,,,295040,0,0,10404,10619,0.00%
2194,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721263,CGZ018539H_济阳明洋胶囊(721263),81,FGZ0185391H1_济阳明洋胶囊,721263,CGZ018539H_济阳明洋胶囊,100.00%,100.00%,100.00%,0.95%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.02%,0.82%,5.35%,0.82%,5.35%,0,5.35%,9.81%,4,0.2228,7,1.4633,7,1,1.3645,0,0.017,10.3866,0,0.0673,0.01,0.03,0.00%,0.00%,-119.8,-119,-119,,,,,,,,,,,,1481813,0,99,41023,47704,0.00%
2195,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721263,CGZ018539H_济阳明洋胶囊(721263),82,FGZ0185392H1_济阳明洋胶囊,721263,CGZ018539H_济阳明洋胶囊,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.49%,1.12%,7.04%,1.12%,7.04%,0,7.04%,9.56%,5,0.364,7,1.8361,7,1,0.5154,0,0.0175,9.9898,0,0.1878,0.01,0.08,0.00%,0.00%,-119.86,-119,-119,,,,,,,,,,,,3150207,23,58,71778,91962,0.00%
2196,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721263,CGZ018539H_济阳明洋胶囊(721263),83,FGZ0185393H1_济阳明洋胶囊,721263,CGZ018539H_济阳明洋胶囊,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.28%,0.08%,4.46%,0.08%,4.46%,0,4.46%,12.34%,1,0.0388,3,0.1134,3,0,0.4045,0,0.0009,5.5907,0,0.0046,0,0,0.00%,0.00%,-119.31,-119,-119,,,,,,,,,,,,222792,0,233,3283,4033,0.00%
2197,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721276,CGZ018571R_济阳北方供热公司-粮油公司(721276),81,FGZ0185711R1_济阳北方供热公司-粮油公司,721276,CGZ018571R_济阳北方供热公司-粮油公司,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.11%,0.21%,4.53%,0.21%,4.53%,0,4.53%,11.08%,2,0.0846,3,0.3994,3,0,0.566,0,0.0031,4.3032,0,0.0438,0,0.02,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,444076,0,1,12341,17438,0.00%
2198,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721276,CGZ018571R_济阳北方供热公司-粮油公司(721276),82,FGZ0185712R1_济阳北方供热公司-粮油公司,721276,CGZ018571R_济阳北方供热公司-粮油公司,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.94%,0.27%,5.07%,0.27%,5.07%,0,5.07%,10.17%,3,0.1266,5,0.7484,5,0,0.4396,0,0.0055,14.6754,0,0.0727,0,0.03,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,1965967,0,0,27443,34847,0.00%
2199,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721276,CGZ018571R_济阳北方供热公司-粮油公司(721276),83,FGZ0185713R1_济阳北方供热公司-粮油公司,721276,CGZ018571R_济阳北方供热公司-粮油公司,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.86%,0.73%,8.12%,0.73%,8.12%,0,8.12%,9.54%,2,0.1561,3,1.2861,3,1,0.4572,0,0.0102,18.385,0,0.3402,0,0.15,0.00%,0.00%,-119.7,-119,-119,,,,,,,,,,,,8288629,2,0,68223,114307,0.00%
2200,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721297,CGZ018527H_济阳炼油厂_名门世家-炼油厂(721297),81,FGZ0185271R1_名门世家-炼油厂,721297,CGZ018527H_济阳炼油厂_名门世家-炼油厂,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.12%,0.00%,0.00%,100.00%,8.69%,4.65%,8.82%,4.65%,8.82%,0,8.82%,12.23%,7,1.4585,12,3.5133,12,3,2.3583,0,0.0875,13.2527,0,0.55,0.04,0.24,0.00%,0.00%,-117.54,-117,-119,,,,,,,,,,,,10156791,22,3,219386,284429,0.00%
2201,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721297,CGZ018527H_济阳炼油厂_名门世家-炼油厂(721297),82,FGZ0185272R1_名门世家-炼油厂,721297,CGZ018527H_济阳炼油厂_名门世家-炼油厂,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.05%,0.00%,0.00%,100.00%,8.10%,5.05%,7.50%,5.05%,7.50%,0,7.50%,14.58%,8,1.1462,14,4.5972,14,4,2.5837,0,0.0569,10.0243,0,0.1484,0.02,0.06,0.00%,0.00%,-115.38,-116,-118,,,,,,,,,,,,3672909,246,956,126509,154447,0.00%
2202,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721297,CGZ018527H_济阳炼油厂_名门世家-炼油厂(721297),83,FGZ0185273R1_名门世家-炼油厂,721297,CGZ018527H_济阳炼油厂_名门世家-炼油厂,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.39%,0.00%,0.00%,100.00%,8.93%,1.20%,5.67%,1.20%,5.67%,0,5.67%,9.69%,5,0.4402,8,1.7189,8,1,0.5896,0,0.0154,14.7321,0,0.1342,0.01,0.06,0.00%,0.00%,-118.46,-118,-119,,,,,,,,,,,,1163915,1,9,61935,78631,0.00%
2203,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721298,CGZ018538H_三里井(721298),81,FGZ0185381H1_三里井,721298,CGZ018538H_三里井,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.62%,0.10%,4.14%,0.10%,4.14%,0,4.14%,11.36%,2,0.0256,3,0.1556,3,0,0.278,0,0.0012,4.0558,0,0.0107,0,0,0.00%,0.00%,-119.23,-119,-119,,,,,,,,,,,,326627,0,0,4871,5720,0.00%
2204,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721298,CGZ018538H_三里井(721298),82,FGZ0185382H1_三里井,721298,CGZ018538H_三里井,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,3.84%,0.01%,3.94%,0.01%,3.94%,0,3.94%,12.52%,1,0.0052,2,0.0511,2,0,0.1013,0,0.0002,0.0206,0,0.0001,0,0,0.00%,0.00%,-118.68,-118,-119,,,,,,,,,,,,4171,0,0,496,540,0.00%
2205,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721298,CGZ018538H_三里井(721298),83,FGZ0185383H1_三里井,721298,CGZ018538H_三里井,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.16%,0.19%,4.07%,0.19%,4.07%,0,4.07%,10.96%,2,0.1298,3,0.2978,3,0,0.4269,0,0.0024,3.0079,0,0.0045,0,0,0.00%,0.00%,-118.75,-118,-119,,,,,,,,,,,,159980,0,0,11468,13750,0.00%
2206,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721299,CGZ018541H_济阳广播局_济阳老邮电家属院-济阳广播局(721299),81,FGZ0185411H1_济阳广播局,721299,CGZ018541H_济阳广播局_济阳西关村_济阳老邮电家属院-济阳广播局,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.46%,0.30%,4.83%,0.30%,4.83%,0,4.83%,9.48%,3,0.107,7,0.9956,7,0,0.3296,0,0.0043,6.752,0,0.056,0,0.02,0.00%,0.00%,-119.68,-119,-119,,,,,,,,,,,,1811964,0,0,18196,24874,0.00%
2207,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721299,CGZ018541H_济阳广播局_济阳老邮电家属院-济阳广播局(721299),82,FGZ0185412H1_济阳广播局,721299,CGZ018541H_济阳广播局_济阳西关村_济阳老邮电家属院-济阳广播局,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,4.24%,0.05%,3.98%,0.05%,3.98%,0,3.98%,11.45%,2,0.044,2,0.2994,2,0,0.0702,0,0.0007,0.7207,0,0.0016,0,0,0.00%,0.00%,-119.47,-119,-119,,,,,,,,,,,,37648,0,0,3226,5107,0.00%
2208,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721299,CGZ018541H_济阳广播局_济阳老邮电家属院-济阳广播局(721299),83,FGZ0185413H1_济阳广播局,721299,CGZ018541H_济阳广播局_济阳西关村_济阳老邮电家属院-济阳广播局,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.65%,1.29%,5.46%,1.29%,5.46%,0,5.46%,11.12%,6,0.1402,13,0.7911,13,0,1.6831,0,0.0117,9.4449,0,0.0694,0,0.03,0.00%,0.00%,-113.68,-114,-118,,,,,,,,,,,,3841216,0,17,21532,28844,0.00%
2209,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721299,CGZ018541H_济阳广播局_济阳老邮电家属院-济阳广播局(721299),84,FGZ0185417R1_济阳老邮电家属院-济阳广播局,721299,CGZ018541H_济阳广播局_济阳西关村_济阳老邮电家属院-济阳广播局,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,6.64%,0.41%,5.06%,0.41%,5.06%,0,5.06%,9.39%,4,0.2544,9,1.6022,9,1,0.3393,0,0.0065,6.5151,0,0.0372,0,0.02,0.00%,0.00%,-119.99,-119,-119,,,,,,,,,,,,1147260,4,0,24877,36043,0.00%
2210,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721299,CGZ018541H_济阳广播局_济阳老邮电家属院-济阳广播局(721299),85,FGZ0185418R1_济阳老邮电家属院-济阳广播局,721299,CGZ018541H_济阳广播局_济阳西关村_济阳老邮电家属院-济阳广播局,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,4.65%,0.14%,4.45%,0.14%,4.45%,0,4.45%,9.57%,2,0.1835,5,0.8344,5,0,0.2096,0,0.0028,7.3467,0,0.0114,0,0,0.00%,0.00%,-119.63,-119,-119,,,,,,,,,,,,277369,0,0,20215,23926,0.00%
2211,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721300,CGZ018544H_济阳德力西(721300),81,FGZ0185441H1_济阳德力西,721300,CGZ018544H_济阳德力西,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.51%,0.58%,5.25%,0.58%,5.25%,0,5.25%,9.94%,3,0.472,4,0.8316,4,0,0.5541,0,0.0131,5.8039,0,0.0566,0.01,0.02,0.00%,0.00%,-119.46,-119,-119,,,,,,,,,,,,1459662,0,0,99597,115712,0.00%
2212,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721300,CGZ018544H_济阳德力西(721300),82,FGZ0185442H1_济阳德力西,721300,CGZ018544H_济阳德力西,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.95%,0.03%,4.03%,0.03%,4.03%,0,4.03%,12.05%,2,0.0198,2,0.1144,2,0,0.113,0,0.0003,0.6782,0,0.0013,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,21501,0,0,1165,2130,0.00%
2213,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721300,CGZ018544H_济阳德力西(721300),83,FGZ0185443H1_济阳德力西,721300,CGZ018544H_济阳德力西,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.13%,0.53%,4.91%,0.53%,4.91%,0,4.91%,10.12%,3,0.1501,5,0.7822,5,0,3.2639,0,0.0092,5.1818,0,0.04,0,0.02,0.00%,0.00%,-119.6,-119,-119,,,,,,,,,,,,855515,3,0,24735,25940,0.00%
2214,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721301,CGZ018555R_澄波湖一号_济阳三发小区加油站-济阳汽车站(721301),81,FGZ0185551R1_澄波湖一号-老实王,721301,CGZ018555R_澄波湖一号_济阳三发小区加油站-济阳汽车站,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.94%,3.67%,16.92%,3.67%,16.92%,0,16.92%,10.58%,7,1.3499,13,4.76,13,4,6.9968,0,0.1044,28.3199,0,1.2989,0.05,0.57,0.00%,0.00%,-118.44,-118,-119,,,,,,,,,,,,25201912,0,32,291570,551040,0.00%
2215,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721301,CGZ018555R_澄波湖一号_济阳三发小区加油站-济阳汽车站(721301),82,FGZ0185552R1_澄波湖一号-老实王,721301,CGZ018555R_澄波湖一号_济阳三发小区加油站-济阳汽车站,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.04%,0.00%,0.00%,100.00%,10.18%,3.79%,13.34%,3.79%,13.34%,0,13.34%,12.32%,8,1.9947,16,6.21,16,6,3.9278,0,0.0583,18.2124,0,0.7238,0.02,0.31,0.00%,0.00%,-108.44,-110,-117,,,,,,,,,,,,22875089,0,113,273822,430741,0.00%
2216,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721301,CGZ018555R_澄波湖一号_济阳三发小区加油站-济阳汽车站(721301),83,FGZ0185553R1_澄波湖一号-老实王,721301,CGZ018555R_澄波湖一号_济阳三发小区加油站-济阳汽车站,99.64%,99.64%,99.64%,0.00%,99.64%,100.00%,0.20%,0.00%,0.00%,100.00%,10.09%,1.20%,5.63%,1.20%,5.63%,0,5.63%,8.64%,5,1.316,9,2.7378,9,2,1.827,0,0.0231,6.8465,0,0.0752,0.01,0.03,0.00%,0.00%,-117.26,-117,-119,,,,,,,,,,,,1958339,0,80,134150,143430,0.00%
2217,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721301,CGZ018555R_澄波湖一号_济阳三发小区加油站-济阳汽车站(721301),84,FGZ0185557R1_济阳三发小区加油站-济阳汽车站,721301,CGZ018555R_澄波湖一号_济阳三发小区加油站-济阳汽车站,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.86%,0.64%,6.05%,0.64%,6.05%,0,6.05%,9.01%,4,0.2521,7,1.6694,7,1,0.3922,0,0.01,15.7646,0,0.1712,0,0.07,0.00%,0.00%,-119.91,-119,-119,,,,,,,,,,,,2983953,0,21,48366,74527,0.00%
2218,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721301,CGZ018555R_澄波湖一号_济阳三发小区加油站-济阳汽车站(721301),85,FGZ0185558R1_济阳三发小区加油站-济阳汽车站,721301,CGZ018555R_澄波湖一号_济阳三发小区加油站-济阳汽车站,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.32%,0.67%,5.29%,0.67%,5.29%,0,5.29%,9.42%,3,0.4234,6,1.2667,6,1,0.8322,0,0.016,15.0802,0,0.0472,0.01,0.02,0.00%,0.00%,-119.57,-119,-119,,,,,,,,,,,,792736,0,5,55962,65984,0.00%
2219,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721301,CGZ018555R_澄波湖一号_济阳三发小区加油站-济阳汽车站(721301),86,FGZ0185559R1_济阳三发小区加油站-济阳汽车站,721301,CGZ018555R_澄波湖一号_济阳三发小区加油站-济阳汽车站,100.00%,100.00%,100.00%,2.04%,100.00%,100.00%,0.21%,0.00%,0.00%,100.00%,9.21%,1.09%,7.42%,1.09%,7.42%,0,7.42%,10.30%,5,0.366,9,2.025,9,2,6.2859,0,0.0135,9.7896,0,0.1809,0.01,0.08,0.00%,0.00%,-119.95,-119,-119,,,,,,,,,,,,3399702,1,11,57106,87725,0.00%
2220,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721302,CGZ018558H_济阳毛官庄(721302),81,FGZ0185581H1_济阳毛官庄,721302,CGZ018558H_济阳毛官庄,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.69%,1.44%,7.40%,1.44%,7.40%,0,7.40%,10.82%,5,1.1827,11,4.0194,11,4,0.4927,0,0.0307,18.467,0,0.4368,0.01,0.19,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,6944880,0,0,167666,239996,0.00%
2221,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721302,CGZ018558H_济阳毛官庄(721302),82,FGZ0185582H1_济阳毛官庄,721302,CGZ018558H_济阳毛官庄,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.73%,1.63%,6.90%,1.63%,6.90%,0,6.90%,8.65%,6,0.9754,12,3.6133,12,3,0.9389,0,0.0282,23.5432,0,0.4179,0.01,0.18,0.00%,0.00%,-118.44,-118,-119,,,,,,,,,,,,5593051,0,8,125922,230517,0.00%
2222,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721302,CGZ018558H_济阳毛官庄(721302),83,FGZ0185583H1_济阳毛官庄,721302,CGZ018558H_济阳毛官庄,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.15%,0.90%,4.52%,0.90%,4.52%,0,4.52%,9.75%,4,0.2203,7,1.3506,7,1,0.4496,0,0.009,19.1305,0,0.0422,0,0.02,0.00%,0.00%,-119.4,-119,-119,,,,,,,,,,,,521230,0,0,22868,28158,0.00%
2223,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修(721983),81,FGZ0185311R1_济阳南-博通汽修,721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,0,0,0,0,0,0.00%
2224,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修(721983),82,FGZ0185312R1_济阳南-博通汽修,721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,0,0,0,0,0,0.00%
2225,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修(721983),83,FGZ0185313R1_济阳南-博通汽修,721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,0,0,0,0,0,0.00%
2226,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修(721983),84,FGZ018531AR1_药监局-博通汽修,721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.14%,0.00%,0.00%,100.00%,10.35%,1.05%,5.00%,1.05%,5.00%,0,5.00%,10.01%,4,0.2206,8,1.315,8,1,0.9515,0,0.0101,6.7877,0,0.0364,0,0.01,0.00%,0.00%,-110.35,-111,-117,,,,,,,,,,,,864372,0,8,26286,32629,0.00%
2227,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修(721983),85,FGZ018531BR1_药监局-博通汽修,721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.33%,0.75%,5.01%,0.75%,5.01%,0,5.01%,10.01%,3,0.0783,5,0.5739,5,0,6.4588,0,0.0248,10.8368,0,0.0439,0.01,0.02,0.00%,0.00%,-119.09,-119,-119,,,,,,,,,,,,1139772,0,6,20030,23364,0.00%
2228,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修(721983),86,FGZ018531CR1_药监局-博通汽修,721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,0,0,0,0,0,0.00%
2229,2018/4/15 18:00,2018/4/15 19:00,1小时,5318,济阳GNF(5318),721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修(721983),87,FGZ0185314R1_济阳春源家具-博通汽修,721983,CGZ018531R_济阳南_济阳春源家具_华鑫现代城东_药监局-博通汽修,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.51%,0.33%,4.81%,0.33%,4.81%,0,4.81%,10.12%,3,0.0724,5,0.5261,5,0,0.7268,0,0.0038,9.7657,0,0.0256,0,0.01,0.00%,0.00%,-117.88,-118,-119,,,,,,,,,,,,443018,0,0,11775,15264,0.00%
