序号,开始时间,结束时间,查询粒度,子网,子网名称,网元,网元名称,小区,小区名称,eNodeB,eNodeB名称,[LTE]小区无线接通率,[LTE]无线接通率,[LTE]无线接通率_1516610800155-0-0,[LTE]无线掉线率-,[FDD]RRC连接建立成功率,[FDD]E-RAB建立成功率,[FDD]RRC连接掉话率,E-RAB掉线率-FDD_1498916186273-0-9,[FDD]E-RAB阻塞率,[FDD]小区的可用率,[LTE]下行数据重传率,上行PRB平均利用率(集团),下行PRB平均利用率(集团),上行PRB利用率-扩容,下行PRB利用率-扩容,[LTE]上行PRB平均利用率(%),[LTE]下行PRB平均利用率(%),PDCCH信道CCE占用率-FDD_1498916186273-0-62,用户面最大激活UE数,用户面平均激活UE数,RRC连接建立最大用户数,RRC连接建立平均用户数,[FDD]最大的RRC连接建立个数,[FDD]平均的RRC连接建立个数,[FDD]小区上行PDCP层最大流量(兆比特/秒),[FDD]小区上行PDCP层最小流量(兆比特/秒),[FDD]小区上行PDCP层平均流量(兆比特/秒),[FDD]小区下行PDCP层最大流量(兆比特/秒),[FDD]小区下行PDCP层最小流量(兆比特/秒),[FDD]小区下行PDCP层平均流量(兆比特/秒),空口上行业务字节数(ZXJT)单位:GB ,空口下行业务字节数(ZXJT)单位:GB,小区上行BLER,小区下行BLER,RB平均干扰均值（0-24）,RB平均干扰均值(0-29),RB平均干扰均值（0-99）_1516610800155-0-16,"TA在范围[0,1)的上报次数","TA在范围[1,3)的上报次数","TA在范围[3,5)的上报次数","TA在范围[5,7)的上报次数","TA在范围[7,9)的上报次数","TA在范围[9,11)的上报次数","TA在范围[11,13)的上报次数","TA在范围[13,20)的上报次数","TA在范围[20,27)的上报次数","TA在范围[27,34)的上报次数","TA在范围[34,40)的上报次数",小区下行PDCP SDU时延(毫秒),小区上行PDCP SDU丢包个数,小区下行PDCP SDU丢包个数,小区上行PDCP 总的SDU个数,小区下行PDCP 总的SDU个数,[LTE]RLC PDU重传率
11,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721502,CGZ017324H_平阴移动_裕腾药业_玛钢体育馆-平阴移动(721502),82,FGZ0173242H1_平阴移动,721502,CGZ017324H_平阴移动_裕腾药业-平阴移动,98.18%,98.18%,98.18%,0.00%,98.18%,100.00%,0.00%,0.00%,0.00%,100.00%,4.91%,0.93%,5.18%,0.93%,5.18%,0,5.18%,13.78%,4,0.4323,6,1.14,6,1,4.7319,0,0.0086,17.4197,0,0.0542,0,0.02,0.00%,0.00%,-119.96,-119,-119,,,,,,,,,,,,582263,0,2735,37500,50863,0.00%
12,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721502,CGZ017324H_平阴移动_裕腾药业_玛钢体育馆-平阴移动(721502),83,FGZ0173243H1_平阴移动,721502,CGZ017324H_平阴移动_裕腾药业-平阴移动,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,3.75%,0.37%,4.85%,0.37%,4.85%,0,4.85%,9.50%,3,0.1626,7,1.1806,7,1,0.7281,0,0.005,22.2897,0,0.0229,0,0.01,0.00%,0.00%,-119.96,-119,-119,,,,,,,,,,,,1103091,0,235,14851,20364,0.00%
13,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721502,CGZ017324H_平阴移动_裕腾药业_玛钢体育馆-平阴移动(721502),84,FGZ0173244R1_裕腾药业-平阴移动,721502,CGZ017324H_平阴移动_裕腾药业-平阴移动,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.89%,0.08%,4.92%,0.08%,4.92%,0,4.92%,10.87%,1,0.0181,3,0.13,3,0,0.2459,0,0.0007,9.7112,0,0.0276,0,0.01,0.00%,0.00%,-118.82,-119,-119,,,,,,,,,,,,1296584,0,0,4661,9001,0.00%
14,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721502,CGZ017324H_平阴移动_裕腾药业_玛钢体育馆-平阴移动(721502),85,FGZ0173245R1_裕腾药业-平阴移动,721502,CGZ017324H_平阴移动_裕腾药业-平阴移动,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,5.72%,0.07%,4.54%,0.07%,4.54%,0,4.54%,9.42%,2,0.0767,4,0.5534,4,0,0.1413,0,0.0011,3.5871,0,0.0052,0,0,0.00%,0.00%,-119.47,-119,-119,,,,,,,,,,,,208914,0,0,6148,7527,0.00%
15,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721502,CGZ017324H_平阴移动_裕腾药业_玛钢体育馆-平阴移动(721502),86,FGZ0173246R1_裕腾药业-平阴移动,721502,CGZ017324H_平阴移动_裕腾药业-平阴移动,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.35%,0.62%,5.70%,0.62%,5.70%,0,5.70%,9.56%,3,0.1825,5,1.1656,5,1,0.8927,0,0.0334,6.835,0,0.0527,0.01,0.02,0.00%,0.00%,-118,-118,-119,,,,,,,,,,,,623592,0,34,39281,42230,0.00%
16,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721504,CGZ017329H_平阴四中(721504),81,FGZ0173291H1_平阴四中,721504,CGZ017329H_平阴四中,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.77%,1.59%,5.28%,1.59%,5.28%,0,5.28%,7.88%,5,0.6335,12,3.5628,12,3,4.5453,0,0.0256,14.0987,0,0.1771,0.01,0.08,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,6404273,1,8,90610,120802,0.00%
17,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721504,CGZ017329H_平阴四中(721504),82,FGZ0173292H1_平阴四中,721504,CGZ017329H_平阴四中,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.07%,0.57%,4.10%,0.57%,4.10%,0,4.10%,7.76%,3,0.1639,6,1.4461,6,1,0.5849,0,0.0072,26.3284,0,0.0878,0,0.04,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,1089496,0,0,24908,41323,0.00%
18,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721504,CGZ017329H_平阴四中(721504),83,FGZ0173293H1_平阴四中,721504,CGZ017329H_平阴四中,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,6.53%,0.91%,3.96%,0.91%,3.96%,0,3.96%,7.45%,3,0.3835,8,2.5789,8,2,2.7151,0,0.0084,7.6479,0,0.0384,0,0.02,0.00%,0.00%,-119.66,-119,-119,,,,,,,,,,,,617491,1,5,41422,45369,0.00%
19,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721506,CGZ017346H_文萃家园(721506),81,FGZ0173461H1_文萃家园,721506,CGZ017346H_文萃家园,100.00%,100.00%,100.00%,0.46%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.11%,4.03%,10.98%,4.03%,10.98%,0,10.98%,11.81%,7,1.2128,16,6.2839,16,6,1.9002,0,0.0362,16.6749,0,0.6486,0.02,0.28,0.00%,0.00%,-118.55,-118,-119,,,,,,,,,,,,15256601,0,196,186204,327190,0.00%
20,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721506,CGZ017346H_文萃家园(721506),82,FGZ0173462H1_文萃家园,721506,CGZ017346H_文萃家园,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.65%,2.02%,5.61%,2.02%,5.61%,0,5.61%,9.32%,5,0.4894,13,2.8828,13,2,1.7926,0,0.0258,11.8034,0,0.0743,0.01,0.03,0.00%,0.00%,-118.91,-119,-119,,,,,,,,,,,,1867775,0,56,63746,74475,0.00%
